Electricity Load [J],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
10.350306470193523,47.24778762559276,2.099137974967594,0.0,1.9375,1.9375
10.350306470193523,49.13327973723052,2.0013620410353385,0.0,2.5,2.5
10.350306470193523,33.78596970328696,1.3116097648172387,0.0,2.1875,2.1875
10.350306470193523,52.003730278038134,1.9524017143506989,0.0,2.0,2.0
10.350306470193523,51.14280658809859,1.8955928471398524,0.0,2.0,2.0
10.350306470193523,35.59745426250038,1.2576383782308287,0.0,2.0,2.0
13.134080232505159,54.188104795619125,1.9671241396627752,0.0,2.0,2.0
13.24577757907463,50.78116046052822,1.9756379875911145,0.0403125,2.0,2.0
13.006348058897876,27.903260378494434,1.3711970647422613,0.23175,1.375,1.375
12.938261029094233,32.58999694715946,2.49724433778514,0.387125,1.0,1.0
12.933047904492726,27.18893915079212,3.0948206812531303,0.39025,1.0,1.0
12.933047904492726,16.171191178654233,0.12803371518164539,0.0305625,1.0,1.0
12.933047904492726,22.385276167833368,0.2775537652647355,0.12,1.0,1.0
12.933047904492726,18.04283711890775,0.8420848444160737,0.5690625,1.0,1.0
12.941706950458077,11.347833317214391,0.6584759969033757,0.39625,1.625,1.625
13.135894931862468,21.786498268242127,0.9591744209673336,0.0296875,2.0,2.0
13.322606911852002,25.878696781911835,2.88827289621678,0.0,2.0,2.0
13.322606911852002,20.366085437398635,1.7848836157238845,0.0,2.0,2.0
10.611742008136241,35.91854261659416,2.5072705590197346,0.0,2.0,2.0
10.350306470193523,31.414554759498145,2.2716762971615063,0.0,2.0,2.0
10.350306470193523,22.879599327531764,1.506717403456857,0.0,1.375,1.375
10.350306470193523,37.263609111668714,2.2686396751320133,0.0,1.0,1.0
10.350306470193523,33.558318202878624,2.1803997156625807,0.0,1.0,1.0
10.350306470193523,25.154961548830784,1.4534739003151016,0.0,1.0,1.0
13.442889942541491,48.71318134225206,2.3717125067841858,0.0,1.0,1.0
13.442889942541491,46.77407371753528,2.347483631021309,0.0,1.0,1.0
13.442889942541491,33.063985593358346,1.5805611104313237,0.0,1.0,1.0
13.442889942541491,52.31608558251912,2.382083906258494,0.0,1.0,1.0
13.442889942541491,47.994508197081046,2.2635556125173095,0.0,1.0,1.0
13.442889942541491,74.37962352846881,1.4415780611554494,0.0,1.0,1.0
18.336058690846233,195.25448967380746,0.0,0.0,1.0,1.0
37.16109196256464,189.11244368758005,0.17621893094772623,0.02025,1.0,1.0
84.3703197685506,135.64517063133113,6.713750272571852,0.081,1.0,1.0
74.79163820176977,114.7304581565496,6.74907544374538,0.0525,1.0,1.0
72.29851631263973,88.1529063519824,6.779682513761229,0.237,1.0,1.0
74.21670290839647,68.31426306119738,7.156044798046531,0.2921875,1.0,1.0
75.21995504444162,69.75300335613946,7.546293014386375,0.26175,1.0,1.0
76.10996208746545,58.882132138866666,7.746570102836795,0.0203125,1.0,1.0
73.2761592502182,54.254410823261466,7.639312757017205,0.0,1.625,1.625
76.80524179863657,50.30844728228914,7.714514647461573,0.0,2.0,2.0
82.19581174416012,48.0548143178065,8.576039403185927,0.0,2.0,2.0
57.41216647569334,70.48818712559033,8.065087993950424,0.0,2.0,2.0
30.156088958162037,74.68418131738085,6.423321089687031,0.0,2.0,2.0
27.57729774937083,68.00458837203719,3.646699017876521,0.0,2.0,2.0
23.92397220829688,67.17545171070897,2.958675697949022,0.0,2.0,2.0
22.634576603901273,65.99261638471883,1.9629306766043966,0.0,2.0,2.0
18.98125106282732,0.0,0.0,0.0,2.0,2.0
17.15458829229034,0.0,0.0,0.0,2.0,2.0
13.70432548048421,0.0,0.0,0.0,2.0,2.0
13.442889942541491,3.2822790244912534,0.939565598293969,0.0,2.0,2.0
13.442889942541491,6.653017542853917,1.258014876622359,0.0,2.0,2.0
13.442889942541491,7.5175752469222115,1.1270749727401703,0.0,2.0,2.0
13.442889942541491,7.876225185191012,1.8513637900019835,0.0,2.0,2.0
13.442889942541491,48.04335571254378,5.559034508413915,0.0,2.0,2.0
18.336058690846233,112.13676720330767,2.82067969748381,0.0,2.0,2.0
37.10913768677253,119.3547351754159,5.564288587777927,0.03,2.0,2.0
84.04210808400276,70.14033846174969,9.296401817893786,0.1719375,2.0,2.0
74.42028220488741,49.18714968881382,11.028327705239795,0.2850625,2.0,2.0
72.28260950180305,37.40196024749998,12.354222853871768,0.2865625,2.0,2.0
74.21670290839647,36.499744518304766,13.769217137165311,0.111875,2.0,2.0
75.21995504444162,38.816122128163016,14.998039580759004,0.4588125,2.0,2.0
75.82844741389097,24.620506572444437,21.3751530531831,0.524625,2.0,2.0
72.49042660497149,19.509472278374144,23.344190300860827,0.3959375,2.0,2.0
76.47047407298732,21.826463085542645,18.801041700308854,0.0301875,2.0,2.0
82.19581174416012,25.124639499264816,18.969355177444662,0.0,2.0,2.0
57.41216647569334,43.57991884026668,12.551389020565715,0.0,2.0,2.0
30.156088958162037,49.89611276479929,8.385454213465081,0.0,2.0,2.0
27.57729774937083,46.26232235988162,7.032596563492567,0.0,2.0,2.0
23.92397220829688,49.56796860661394,6.561569535625997,0.0,2.625,2.625
22.634576603901273,52.024165227188405,5.218024059506653,0.0,3.0,3.0
18.98125106282732,0.0,0.0,0.0,3.0,3.0
17.15458829229034,0.0,0.0,0.0,3.0,3.0
13.70432548048421,1.9779966252971355,0.6225637234750379,0.0,3.0,3.0
13.442889942541491,6.089242792066062,1.6683814150520782,0.0,3.0,3.0
13.442889942541491,4.894966479914377,1.0139394070830174,0.0,3.0,3.0
