Electricity Load [J],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
24.54354757272914,94.68790072471003,0.0,0.0,1.0,1.0
24.07853878592184,97.73420282555587,0.0,0.0,1.0,1.0
26.577761125870513,99.1772396263817,0.0,0.0,1.0,1.0
33.53185673642541,96.95508782986923,0.0,0.0,1.0,1.0
43.10294645997117,90.24764943835488,0.0,0.0,1.0,1.0
49.958243229241965,87.58024096921505,0.0,0.02025,1.0,1.0
49.22865396302196,86.26261546350635,0.0,0.081,1.0,1.0
45.88992654721165,82.8494077656168,0.0,0.0525,1.0,1.0
42.73334412082626,61.34906933436933,0.5135705088231,0.237,1.0,1.0
43.19835290763354,47.75022124789657,1.1462566955918574,0.2921875,1.0,1.0
42.549621892823666,40.81627635421535,2.4673658268077143,0.26175,1.0,1.0
41.33831776040424,48.5471520313817,0.019663706857727448,0.0203125,1.0,1.0
40.873308973596956,59.58062038068856,0.0,0.0,1.625,1.625
43.376514670588755,64.82532414889063,0.0,0.0,2.0,2.0
55.62897172350814,63.3833839772223,0.0,0.0,2.0,2.0
68.8193023787293,55.371281452311464,0.0,0.0,2.0,2.0
71.33876087219194,50.064256678906695,0.0,0.0,2.0,2.0
67.88736483844153,50.7611457012868,0.0,0.0,2.0,2.0
66.02732969121233,52.219472402003,0.0,0.0,2.0,2.0
58.430063596181654,54.769512159632605,0.0,0.0,2.0,2.0
46.18270963307773,61.93762479782079,0.0,0.0,2.0,2.0
35.50854379335107,69.93161055202792,0.0,0.0,2.0,2.0
27.33360029357292,78.78399446503825,0.0,0.0,2.0,2.0
25.47356514634371,83.69237559661727,0.0,0.0,2.0,2.0
24.54354757272914,88.07676263844434,0.0,0.0,2.0,2.0
24.07853878592184,92.83984302496374,0.0,0.0,2.0,2.0
26.577761125870513,96.69723587873291,0.0,0.0,2.0,2.0
33.53185673642541,96.97071719954036,0.0,0.0,2.0,2.0
43.10294645997117,92.20042761773058,0.0,0.0,2.0,2.0
49.958243229241965,90.23671866632876,0.0,0.03,2.0,2.0
49.22865396302196,85.06820779529923,0.0,0.1719375,2.0,2.0
45.88992654721165,71.32850786640164,0.0,0.2850625,2.0,2.0
42.73334412082626,61.2418995653848,0.26046053018810644,0.2865625,2.0,2.0
43.19835290763354,64.02679037237232,0.0,0.111875,2.0,2.0
42.549621892823666,48.03303165204566,2.9942836849194703,0.4588125,2.0,2.0
41.33831776040424,40.776764883264626,5.909532870460834,0.524625,2.0,2.0
40.873308973596956,39.38803453093108,4.551016914536153,0.3959375,2.0,2.0
43.376514670588755,48.1138072366387,0.7207027758450916,0.0301875,2.0,2.0
55.62897172350814,50.21103308666126,0.005245308467181076,0.0,2.0,2.0
68.8193023787293,47.14757836652967,0.7073277904731683,0.0,2.0,2.0
71.33876087219194,46.74450686606797,0.8151876643924092,0.0,2.0,2.0
67.88736483844153,50.89249414309143,0.1831388765252928,0.0,2.0,2.0
66.02732969121233,64.33754699249549,0.0,0.0,2.625,2.625
58.430063596181654,75.11713859805106,0.0,0.0,3.0,3.0
46.18270963307773,84.30222830024084,0.0,0.0,3.0,3.0
35.50854379335107,92.48253212905871,0.0,0.0,3.0,3.0
27.33360029357292,100.39866208624645,0.0,0.0,3.0,3.0
25.47356514634371,104.58089735224213,0.0,0.0,3.0,3.0
24.54354757272914,108.46862866234868,0.0,0.0,3.0,3.0
24.07853878592184,112.83063808624532,0.0,0.0,3.0,3.0
26.577761125870513,116.98541185979171,0.0,0.0,3.0,3.0
33.53185673642541,118.27330858515522,0.0,0.0,3.0,3.0
43.10294645997117,114.73930380181487,0.0,0.0,3.0,3.0
49.958243229241965,113.20321584441753,0.0,0.0496875,3.0,3.0
49.22865396302196,104.10821672616778,0.0,0.306,3.0,3.0
45.88992654721165,83.96143020639117,0.28547243874716577,0.556,3.0,3.0
42.73334412082626,69.48336305380172,1.8707737510811113,0.612125,3.0,3.0
43.19835290763354,61.689281818186444,6.5123243196494895,0.706375,3.0,3.0
42.549621892823666,56.79659617037458,7.58789792261111,0.569125,3.0,3.0
41.33831776040424,63.84391754762228,0.9736577534315624,0.1351875,3.0,3.0
40.873308973596956,65.61484501682293,1.151269565952547,0.366,3.625,3.625
43.376514670588755,82.37792254024023,0.0,0.0305,4.0,4.0
55.62897172350814,84.61128952870455,0.0,0.0,4.0,4.0
68.8193023787293,79.81318129655791,0.0,0.0,4.0,4.0
